COHORT_MONTH,MONTHS_SINCE_FIRST,ACTIVE_CUSTOMERS
2016-09-01 00:00:00.000,0,4
2016-10-01 00:00:00.000,0,321
2016-10-01 00:00:00.000,6,1
2016-10-01 00:00:00.000,9,1
2016-10-01 00:00:00.000,11,1
2016-10-01 00:00:00.000,13,1
2016-10-01 00:00:00.000,15,1
2016-10-01 00:00:00.000,17,1
2016-10-01 00:00:00.000,19,2
2016-10-01 00:00:00.000,20,2
2016-12-01 00:00:00.000,0,1
2016-12-01 00:00:00.000,1,1
2017-01-01 00:00:00.000,0,764
2017-01-01 00:00:00.000,1,3
2017-01-01 00:00:00.000,2,2
2017-01-01 00:00:00.000,3,1
2017-01-01 00:00:00.000,4,3
2017-01-01 00:00:00.000,5,1
2017-01-01 00:00:00.000,6,4
2017-01-01 00:00:00.000,7,1
2017-01-01 00:00:00.000,8,1
2017-01-01 00:00:00.000,10,3
2017-01-01 00:00:00.000,11,1
2017-01-01 00:00:00.000,12,6
2017-01-01 00:00:00.000,13,3
2017-01-01 00:00:00.000,14,1
2017-01-01 00:00:00.000,15,1
2017-01-01 00:00:00.000,16,2
2017-01-01 00:00:00.000,17,3
2017-01-01 00:00:00.000,19,1
2017-02-01 00:00:00.000,0,1752
2017-02-01 00:00:00.000,1,4
2017-02-01 00:00:00.000,2,5
2017-02-01 00:00:00.000,3,2
2017-02-01 00:00:00.000,4,7
2017-02-01 00:00:00.000,5,2
2017-02-01 00:00:00.000,6,4
2017-02-01 00:00:00.000,7,3
2017-02-01 00:00:00.000,8,3
2017-02-01 00:00:00.000,9,4
2017-02-01 00:00:00.000,10,2
2017-02-01 00:00:00.000,11,5
2017-02-01 00:00:00.000,12,3
2017-02-01 00:00:00.000,13,3
2017-02-01 00:00:00.000,14,2
2017-02-01 00:00:00.000,15,1
2017-02-01 00:00:00.000,16,1
2017-02-01 00:00:00.000,17,4
2017-03-01 00:00:00.000,0,2636
2017-03-01 00:00:00.000,1,13
2017-03-01 00:00:00.000,2,10
2017-03-01 00:00:00.000,3,10
2017-03-01 00:00:00.000,4,9
2017-03-01 00:00:00.000,5,4
2017-03-01 00:00:00.000,6,4
2017-03-01 00:00:00.000,7,8
2017-03-01 00:00:00.000,8,9
2017-03-01 00:00:00.000,9,2
2017-03-01 00:00:00.000,10,10
2017-03-01 00:00:00.000,11,4
2017-03-01 00:00:00.000,12,6
2017-03-01 00:00:00.000,13,3
2017-03-01 00:00:00.000,14,4
2017-03-01 00:00:00.000,15,6
2017-03-01 00:00:00.000,16,2
2017-03-01 00:00:00.000,17,4
2017-04-01 00:00:00.000,0,2352
2017-04-01 00:00:00.000,1,14
2017-04-01 00:00:00.000,2,5
2017-04-01 00:00:00.000,3,4
