MONTH,TOTAL_REVENUE,TOTAL_ORDERS
2016-10-01 00:00:00.000,46563,265
2016-12-01 00:00:00.000,20,1
2017-01-01 00:00:00.000,127581,750
2017-02-01 00:00:00.000,271337,1653
2017-03-01 00:00:00.000,414475,2546
2017-04-01 00:00:00.000,391018,2303
2017-05-01 00:00:00.000,567137,3546
2017-06-01 00:00:00.000,490321,3135
2017-07-01 00:00:00.000,566483,3872
2017-08-01 00:00:00.000,646125,4193
2017-09-01 00:00:00.000,701305,4150
2017-10-01 00:00:00.000,751262,4478
2017-11-01 00:00:00.000,1153712,7289
2017-12-01 00:00:00.000,843274,5513
2018-01-01 00:00:00.000,1078803,7069
2018-02-01 00:00:00.000,966676,6555
2018-03-01 00:00:00.000,1120615,7003
2018-04-01 00:00:00.000,1132819,6798
2018-05-01 00:00:00.000,1128768,6749
2018-06-01 00:00:00.000,1011988,6099
2018-07-01 00:00:00.000,1027837,6159
2018-08-01 00:00:00.000,985309,6351
